created_at,tweet_id,screen_name,rt,fav,text
Mon Sep 26 11:28:48 +0000 2016,780368522358562816,Shaan27,6,0,"b'RT @surnell: Though we can\'t trust Chinese, Why are Pakistanis lying?\\n""China again declines to confirm backing Pakistan"" https://t.co/EhbQR\\u2026'"
Mon Sep 26 11:28:48 +0000 2016,780368521322598401,HarishankarNat1,0,0,b'Indian Army Chief answer to Pakistan Journalist. https://t.co/Sio3nKMt9S'
Mon Sep 26 11:28:48 +0000 2016,780368519770808320,aboutnews131,4,0,b'RT @Sindhi__Sangat: Demonstration rallies were taken out against #CPEC in Hyderabad Seri Hursi Kathar various cities of #Sindh #Pakistan ht\\u2026'
Mon Sep 26 11:28:48 +0000 2016,780368519422631936,for1aman,3,0,"b""RT @RealBhikhu: BC Anyone who can't say Pak is Terrorist country, must be kicked out from India. Whether Pakistan-born-Pakistani or Indian-\\u2026"""
Mon Sep 26 11:28:46 +0000 2016,780368513156386816,JawadKPak,1,0,b'RT @sadamengr: We Pashtuns will never break the chain of Patriotism of Pakistan maintained by Our Elders. \\n1/2'
Mon Sep 26 11:28:46 +0000 2016,780368511168163840,KhanBaltistani,0,0,"b""Pakistan's military drills to hamper business and lives of people in #GilgitBaltistan https://t.co/U62FWahr0f"""
Mon Sep 26 11:28:45 +0000 2016,780368509293371392,vivekashenoy,3,0,"b""RT @Sanjay_Dixit: China has no use for storage dams on any of the 3 major rivers, and as far as Pakistan is concerned, blood and water can'\\u2026"""
Mon Sep 26 11:28:45 +0000 2016,780368507708080128,SushmaJansari,1,0,b'RT @stolengods: Pakistan: Conservation of historic Buddhist site delayed https://t.co/gUizMu7fhP https://t.co/xDTewLa8St'
Mon Sep 26 11:28:44 +0000 2016,780368504948158464,mohsinmalvi19,0,0,b'@gabbas__ @NadeemA40211611 @SyedSerendipity What about NawazSharif who has everything abroad stolen from Pakistan &amp; hobnobbing with Enemy'
Mon Sep 26 11:28:43 +0000 2016,780368499436761088,satishacharya,1,0,b'Modi vs Modi! #Uri #Pakistan https://t.co/hDkpmuIG1X'
Mon Sep 26 11:28:43 +0000 2016,780368497649909760,deepti_nainwal,3,0,"b'RT @indiatvnews: #Pakistan should be declared a terrorist state immediately, a special #Parliament session should also be called: Abhishek\\u2026'"
Mon Sep 26 11:28:42 +0000 2016,780368496505065472,TanriParcaciki,5,0,"b""RT @Kerim_HAS: Ayn\\u0131 anda \\xc7in, Hindistan ve Pakistan'la ortak dil bulup savunma stratejileri geli\\u015ftireblme Rusya'n\\u0131n askeri kapasitesi hkknd\\u2026"""
Mon Sep 26 11:28:41 +0000 2016,780368491983605760,mohsinrz,5,0,"b'RT @gulbukhari: Heartless and stupid of Pakistan, goes against every principle of human rights, and self-destructive for Pakistan https://t\\u2026'"
Mon Sep 26 11:28:41 +0000 2016,780368491564048384,passionate_pawn,0,0,b'Pakistan is terror state. Pakis are stunned after Modi tirade. Never before has an Indian PM shown Pakistan the mir\\u2026 https://t.co/yjVbW2dd0J'
Mon Sep 26 11:28:40 +0000 2016,780368489034969088,mrkotians,48,0,b'RT @Noor_Bibi1: Baloch kids being brutally kill in Balochistan by Pakistan\\nSo sad no coverage no attention from international Media. https:\\u2026'
Mon Sep 26 11:28:40 +0000 2016,780368487323697152,Risvan135,23,0,b'RT @G0_NAWAZ_G0: Read this Russian Report to Know why Modi backed off from Attacking Pakistan. \\n\\nLink\\U0001f449  https://t.co/Ph62fLvViR \\nTranslated\\u2026'
Mon Sep 26 11:28:40 +0000 2016,780368486858096641,vishalkumarg87,0,0,"b'#Pakistan should be declared a terrorist state immediately, a special #Parliament session should also be called: Abhishek Singhvi, #Congress'"
Mon Sep 26 11:28:39 +0000 2016,780368484236685312,salpatel786,2,0,"b'RT @Newsbreak_Lotus: In India, one rand is trading at 4-rupees-87;  in Sri Lanka at 10-rupees-66;  in Pakistan at 7-rupees-65, and in Mauri\\u2026'"
Mon Sep 26 11:28:39 +0000 2016,780368484085538816,shekar21,11,0,"b'RT @avarakai: How did Nehru arrive at 80% for Pakistan, in Indus Water Treaty?'"
Mon Sep 26 11:28:37 +0000 2016,780368475373969409,Jawaaad,3,0,"b'RT @KausarNaseem4: Pakistan will rise under the leadership of Khan, we stand with you @ImranKhanPTI'"
Mon Sep 26 11:28:37 +0000 2016,780368473138589696,PerfectlyAnkit,0,0,"b'Pakistan should be declared a terrorist state immediately, a special Parliament session sh\\u2026 https://t.co/wayyW1MoPG https://t.co/B1fsBn2aNG'"
Mon Sep 26 11:28:36 +0000 2016,780368469724389377,noneofusarefree,0,0,"b'""With this warrant to execute Imdad Ali, Pakistan is clearly in breach of international human rights standards that https://t.co/qdvUikTiRz'"
Mon Sep 26 11:28:35 +0000 2016,780368467128004608,sonitarun1,1,0,b'RT @avalokanam: Do you think India should use the Indus Water Treaty to force Pakistan to end their support for terrorists?'
Mon Sep 26 11:28:35 +0000 2016,780368466549276672,javaidShaikh,58,0,b'RT @ClassifiedJourn: \\u2018You cannot brush #Kashmir under the carpet\\u2019: says Pakistan\\u2019s HC to India. https://t.co/r4gGBYqyxP'
Mon Sep 26 11:28:35 +0000 2016,780368466326925312,swappyarsenal,0,0,b'@nShah_oo7 @NoorIbadat woh toh pure pakistan ko padna chahie... Sab ke sab brainwashed kiye gaye hai.. Hasaan nissar ke intervies dekh'
Mon Sep 26 11:28:35 +0000 2016,780368465567813632,raciops,0,0,b'Syria is not Afghanistan. Usa was wrong in Afghanistan/Pakistan and they are wrong again in Syria. https://t.co/HeLN5FbwKo'
Mon Sep 26 11:28:35 +0000 2016,780368464665948160,rohitpanwar9999,11,0,b'RT @timesofindia: Congress seeks special session of Parliament to discuss internal security and to declare Pakistan a terror sponsoring sta\\u2026'
Mon Sep 26 11:28:34 +0000 2016,780368462552113157,acfbbsinha,214,0,"b'RT @Baloch_World: Perfect statement @eenamg ji.\\n@UN ""Pakistan"" is the nest of terrorism. Eliminating it, will bring peace to world. https:/\\u2026'"
Mon Sep 26 11:28:34 +0000 2016,780368460668952577,villagomezgold1,0,0,"b'Web Hosting Pakistan, Shared Hosting, VPS Servers Pakistan https://t.co/OSzY0hX5OS'"
Mon Sep 26 11:28:33 +0000 2016,780368458483654656,aboutnews131,4,0,"b'RT @Sindhi__Sangat: #Islamabad &amp; #China want to exploit the resources of #Sindh &amp; #Balochistan, Protest by #Sindhi Nari Sangat against #CPE\\u2026'"
Mon Sep 26 11:28:33 +0000 2016,780368456717889537,MahmoodK69,3,0,b'RT @alisardar660: #SupportKhanSavePakistan We support Ik not for Job or anything else but only for free corruption pakistan.U also join han\\u2026'
Mon Sep 26 11:28:31 +0000 2016,780368448362774528,aboutnews131,4,0,b'RT @Sindhi__Sangat: Demonstration &amp; Protest rallies by Sindhi Nari Sangat were taken out in various cities against #CPEC in #Sindh #Pakista\\u2026'
Mon Sep 26 11:28:31 +0000 2016,780368447154814976,azharulhaq,0,0,"b'@Pakistan_ak47 @IndiaToday yaar isi liya kahtay hain ziada nafrat aql ko kha jati hai , India ki aqal ka ye hai k 1/2 krny k liya mars pr ;)'"
Mon Sep 26 11:28:29 +0000 2016,780368441920237568,Noble_Ruler_,0,0,b'@ReshmiDG what has China got to do with IWT? China is no fool. Some people will go to any length in their blind support for Pakistan'
Mon Sep 26 11:28:29 +0000 2016,780368440242507776,voiceindia,0,0,"b'We the People ask the Administration to declare Pakistan, State Sponsor of Terrorism (H.R.6069) https://t.co/EUC8VinFyv'"
Mon Sep 26 11:28:29 +0000 2016,780368439831474177,kchandra56,3,0,"b'RT @singh_biswajeet: See Bhakts, Jehadi DIDI doing her work silently in WB while 56"" instead of action wants to remove poverty from Pakista\\u2026'"
Mon Sep 26 11:28:29 +0000 2016,780368439571419136,monty_chadha,11,0,"b'RT @avarakai: How did Nehru arrive at 80% for Pakistan, in Indus Water Treaty?'"
Mon Sep 26 11:28:28 +0000 2016,780368436765523968,IndiaIndiaNews,0,0,"b'Pakistan shifts terror camps of LeT, JeM, Hizbul Mujahideen in PoK to Army bases, civilian areas: Report https://t.co/Ky0tuzyEVD'"
Mon Sep 26 11:28:28 +0000 2016,780368436539056128,fai3an_H,135,0,"b""RT @Danyal_Gilani: Indian Chiefs of Army &amp; Air Force tell @narendramodi that Indian army's not ready 4 war with Pakistan: Russian media htt\\u2026"""
Mon Sep 26 11:28:27 +0000 2016,780368432764227584,AymanSherwani,1,0,b'RT @omarafique: Tum logo ka Careem nama sun sun k dil kar raha hai pakistan aao sirf careem use karnay k lia kiu ye sab ko itnay pasand hai\\u2026'
Mon Sep 26 11:28:27 +0000 2016,780368430872555525,TRez5678,0,0,"b""@Noiconsalvini Il Pakistan e' un posto islamico e come tale le leggi sono islamiche non laiche. Vogliamo questo anche in italia?? #iovotono"""
Mon Sep 26 11:28:25 +0000 2016,780368423817711617,TanriParcaciki,3,0,"b""RT @Kerim_HAS: Hindistan+Pakistan'\\u0131n n\\xfckleer silahlara sahip olmalar\\u0131 Rusya i\\xe7in bu tatbikatlar\\u0131 daha 1 anlaml\\u0131 k\\u0131l\\u0131yor. \\xc7in'den sonra Rusy\\u2026"""
Mon Sep 26 11:28:25 +0000 2016,780368423167660032,wollasiJirga,0,0,b'Malik Taj Muhammad Wazir &amp; Malik Manan were willing to be active Parts of movement against the terrorist Pakistan.'
Mon Sep 26 11:28:25 +0000 2016,780368422920155137,umair7890610,0,0,b'@geonews_urdu imran Khan ko or ata hi kia hai Jo apna ghar ni sambhal saka Pakistan ko kia sambhale ga'
Mon Sep 26 11:28:24 +0000 2016,780368420151758848,SirAmitSheokand,36,0,"b""RT @ojasvi_yuva: Pakistan Defence Minister's pants dropped at the sound of a gunshot!! And he wants to discuss nuclear bombs \\U0001f61c\\U0001f602. https://t.\\u2026"""
Mon Sep 26 11:28:24 +0000 2016,780368420126674945,SHARICHJAIN,995,0,b'RT @madhukishwar: From WhatsApp- a bleeding heart social worker carrying water to Pakistan in anticipation of scrapping of #IndusWaterTreat\\u2026'
Mon Sep 26 11:28:22 +0000 2016,780368412102922240,atul242026,0,0,b'Ohhhhh my god....a grtt earthquake in pakistan\\n\\nHafiz saeed get dead...nd nawaz sharif becomes mad'
Mon Sep 26 11:28:22 +0000 2016,780368410358255616,nasirmobeen2,0,0,"b'Pakistan shifts terror camps of LeT, JeM, Hizbul Mujahideen in PoK to Army bases, civilian areas: Report https://t.co/R177o41Gau In the wa\\u2026'"
Mon Sep 26 11:28:21 +0000 2016,780368408604848128,ShyraAtoeshi,0,0,"b'Hari tu mat saleh. Ni orang dubai, pakistan mana pulak entah \\U0001f62a\\U0001f62a'"
Mon Sep 26 11:28:21 +0000 2016,780368406973444096,dilipjain1979,0,0,"b'Pakistan shifts terror camps of LeT, JeM, Hizbul Mujahideen in PoK to Army bases, civilian areas: Report \\n\\nhttps://t.co/G2XxxggfQC'"
Mon Sep 26 11:28:21 +0000 2016,780368405597655040,SachNewsTv,0,0,b'#PAKiSTAN:\\n\\n#65 Ki Jang Me Rani &amp; Sherni Nam Ki Topon Ne Bharti Fouj Ka Jeena Haram Kr Dia in Ki Awaz Parday Phar DaLti Thi:\\n\\nBY:\\nSachNewsTv'
Mon Sep 26 11:28:20 +0000 2016,780368404523913216,Roomi_pk,0,0,b'If India puts its forces on border Pakistan will pay 4 not implementing NAP Army will be forced 2 rush on Eastern border leaving FATA open.'
Mon Sep 26 11:28:20 +0000 2016,780368401663426560,aboutnews131,4,0,b'RT @Sindhi__Sangat: Demonstration &amp; rallies by Sindhi Nari Sangat were taken out in various cities against #CPEC in #Sindh #Pakistan https:\\u2026'
Mon Sep 26 11:28:19 +0000 2016,780368400094597122,skchak1943,0,0,b'Pakistan zindabad slogans in congress rally in UP https://t.co/9Z2Hg7XrMU via @rightactionsin'
Mon Sep 26 11:28:19 +0000 2016,780368399821963264,rippysethi,0,0,b'@IndiaToday Bhaiyya Nowadays Pakistan Is More in the Market Should have Blamed Pakistan . Kejri is enough to blame Modi for everything'
Mon Sep 26 11:28:19 +0000 2016,780368398123347968,praneelraja,0,0,b'@ranikhet @narendramodi it seems he is going to renegotiate IWT not scrap it. we will take away only what Pakistan has excess'
Mon Sep 26 11:28:19 +0000 2016,780368397229883394,indiatvnews,3,3,"b'#Pakistan should be declared a terrorist state immediately, a special #Parliament session should also be called: Abhishek Singhvi, #Congress'"
Mon Sep 26 11:28:19 +0000 2016,780368397083312128,dineshpanna2,6,0,"b'RT @JagranNews: \\u0938\\u093f\\u0902\\u0927\\u0941 \\u091c\\u0932 \\u0938\\u092e\\u091d\\u094c\\u0924\\u0947 \\u0915\\u094b \\u0932\\u0947\\u0915\\u0930 \\u092c\\u0941\\u0932\\u093e\\u092f\\u0940 \\u0917\\u0908 \\u092c\\u0948\\u0920\\u0915 \\u092e\\u0947\\u0902 \\u092a\\u0940\\u090f\\u092e \\u0928\\u0947 \\u0915\\u0939\\u093e, \\u0916\\u0942\\u0928 \\u0914\\u0930 \\u092a\\u093e\\u0928\\u0940 \\u0915\\u093e \\u092c\\u0939\\u093e\\u0935 \\u090f\\u0915 \\u0938\\u093e\\u0925 \\u0928\\u0939\\u0940\\u0902 \\u0939\\u094b \\u0938\\u0915\\u0924\\u093e \\u0939\\u0948\\u0964\\n#IndusWaterTreaty #indi\\u2026'"
Mon Sep 26 11:28:18 +0000 2016,780368395564908544,qasimkhanatp,0,0,b'Join us for Adventure every Sunday !!\\nAdventure Travel Pakistan offering you non stop adventure every Sunday from... https://t.co/LzhNj1FkVg'
Mon Sep 26 11:28:18 +0000 2016,780368392867962880,1ndiaFirst,0,1,"b""Terrorists country Pakistan Sh align with their friends not w/India. We don't need hostile country. India means dev\\u2026 https://t.co/rDg83MoLgb"""
Mon Sep 26 11:28:17 +0000 2016,780368391827755008,aboutnews131,4,0,b'RT @Sindhi__Sangat: Demonstration &amp; Rallies by Sindhi Nari Sangat were taken out in various cities against #CPEC in #Sindh #Pakistan https:\\u2026'
Mon Sep 26 11:28:17 +0000 2016,780368390418468864,2000Shekhar,8,0,b'RT @timesofindia: China again declines to confirm backing Pakistan on #Kashmir https://t.co/NurBoa2LiS https://t.co/4IenNkx7n3'
Mon Sep 26 11:28:16 +0000 2016,780368387067244548,nisha_gor,6,0,"b'RT @JagranNews: \\u0938\\u093f\\u0902\\u0927\\u0941 \\u091c\\u0932 \\u0938\\u092e\\u091d\\u094c\\u0924\\u0947 \\u0915\\u094b \\u0932\\u0947\\u0915\\u0930 \\u092c\\u0941\\u0932\\u093e\\u092f\\u0940 \\u0917\\u0908 \\u092c\\u0948\\u0920\\u0915 \\u092e\\u0947\\u0902 \\u092a\\u0940\\u090f\\u092e \\u0928\\u0947 \\u0915\\u0939\\u093e, \\u0916\\u0942\\u0928 \\u0914\\u0930 \\u092a\\u093e\\u0928\\u0940 \\u0915\\u093e \\u092c\\u0939\\u093e\\u0935 \\u090f\\u0915 \\u0938\\u093e\\u0925 \\u0928\\u0939\\u0940\\u0902 \\u0939\\u094b \\u0938\\u0915\\u0924\\u093e \\u0939\\u0948\\u0964\\n#IndusWaterTreaty #indi\\u2026'"
Mon Sep 26 11:28:16 +0000 2016,780368387054505985,sprabhu86,0,0,b'@TimesNow please also check your TRP in Pakistan'
Mon Sep 26 11:28:15 +0000 2016,780368382189240320,aasare1,11,0,"b'RT @avarakai: How did Nehru arrive at 80% for Pakistan, in Indus Water Treaty?'"
Mon Sep 26 11:28:15 +0000 2016,780368381098782720,aboutnews131,4,0,"b'RT @Sindhi__Sangat: #Sindhi Nari Sangat protested against the #ChinaPakistanEconomicCorridor #CPEC in Hyderabad, #Sindh #Pakistan https://t\\u2026'"
Mon Sep 26 11:28:14 +0000 2016,780368378846384128,murphyonrox,3,0,b'RT @GetNewsd: Congress also demands withdrawal of MFN status to Pakistan and imposition of economic sanctions.: PTI'
Mon Sep 26 11:28:13 +0000 2016,780368375830552576,avsbhadwal,170,0,b'RT @rishibagree: While we criticize PM @narendramodi for being soft on Pakistan\\nThis is what a Pakistani Security analyst have to say about\\u2026'
Mon Sep 26 11:28:13 +0000 2016,780368375583166464,OfficiallyAvi,0,0,"b""Seriously don't understand what is the Modi govt waiting for when Congress has also offered support to declare Paki\\u2026 https://t.co/WjxU4L9moc"""
Mon Sep 26 11:28:12 +0000 2016,780368370197757952,aboutnews131,4,0,"b'RT @Sindhi__Sangat: Protest rallies by Sindhi Nari Sangat were also taken out against #CPEC in Hyderabad, Husri, Kathar, Seri various citie\\u2026'"
Mon Sep 26 11:28:12 +0000 2016,780368369241513984,screamboul,0,0,"b'@iMac_too @sparsh9999 No, because Baniyas were busy making money. Only after their wives are stolen by mullah Pakistan they will realize'"
Mon Sep 26 11:28:12 +0000 2016,780368368331321345,futureSoldierMR,115,0,b'RT @ArmyDefender: National Anthem of Pakistan \\nRetweet &amp; Salute to Our Brave Nation\\nWe are United against Our Enemies https://t.co/um8RKvOt\\u2026'
Mon Sep 26 11:28:10 +0000 2016,780368362819850240,erraj99,53,0,b'RT @TheViralFever: Sushma Swaraj all set to give befitting reply to Pakistan at UN today. https://t.co/uy682Sqqir'
Mon Sep 26 11:28:10 +0000 2016,780368360999641088,SecurityKit,0,0,b'PM chairs meeting to review Indus Water https://t.co/l6LOro1GK3  #security #kit #police #doorman #nightclub #sia #closeprotection #bouncer'
Mon Sep 26 11:28:10 +0000 2016,780368360504594432,jibesh2010,0,0,b'Could India and Pakistan go to war? what CNN says -https://t.co/w1j8Fbvyts'
Mon Sep 26 11:28:10 +0000 2016,780368359405694977,trendborg,0,0,b'Pakistan Missing from World Map Viral News  #viral'
Mon Sep 26 11:28:10 +0000 2016,780368359221260288,aboutnews131,4,0,"b'RT @Sindhi__Sangat: Demonstration by Sindhi Nari Sangat Sindh against #CPEC in #Sindh #Pakistan, Activists chanted slogans against anti-Sin\\u2026'"
Mon Sep 26 11:28:09 +0000 2016,780368354930528257,Neelkhan0209,46,0,"b'RT @AlfaPedia: We may have hundreds of political differences but one thing makes us united, and that is ""Pakistan First"".'"
Mon Sep 26 11:28:08 +0000 2016,780368354032906240,PakistanFeed,0,0,b'[Tribune] Pakistan\\u2019s former health minister among top contenders for WHO chief post | https://t.co/2aFKP2H8Lt'
Mon Sep 26 11:28:08 +0000 2016,780368353789562880,55_puranjan,0,0,b'BJP MP Yogi Adityanath Strong Speech on Communal Violence and Pakistan https://t.co/ynhgDLz93M via @YouTube'
Mon Sep 26 11:28:08 +0000 2016,780368351667245056,devakikhanna,0,0,b'Neighbourhood watch: Why Pakistan is obsessed with Kashmir | Business Standard News https://t.co/XbOnLYV1SU'
Mon Sep 26 11:28:07 +0000 2016,780368349700165632,PSL_Fast,0,0,b'3/37 for Ehsan Adil &amp; 3/36 for Mohammad Asghar as Pakistan A bowl Zimbabwe A out for 197 in the first unofficial ODI in Harare #Cricket'
Mon Sep 26 11:28:07 +0000 2016,780368349683408896,jayeshkbh,114,0,"b'RT @ggiittiikkaa: India is rightly identifying pressure points on Pakistan,but ""intellectuals"" fail to see this. We are a country of consci\\u2026'"
Mon Sep 26 11:28:07 +0000 2016,780368346864726017,newsviewzpk,0,0,b'Pakistan\\u2019s former health minister among top contenders for WHO chief post \\r#StandUpForPakistan'
Mon Sep 26 11:28:06 +0000 2016,780368345954521089,araham11,9,0,b'RT @PTI_News: Congress also demands withdrawal of MFN status to Pakistan and imposition of economic sanctions.'
Mon Sep 26 11:28:06 +0000 2016,780368343282884608,Anmol_Aleena,0,2,b'Ahmad Shahzad should be part of Pakistan-A side!'
Mon Sep 26 11:28:05 +0000 2016,780368341168824320,gopalgtgorur,0,0,"b""If u cant differentiate btwn 'Pakistan Zindabad' n 'India Zindabad', just shut shop n do something else instead of\\u2026 https://t.co/fa3Ivpyy5v"""
Mon Sep 26 11:28:05 +0000 2016,780368340099346432,FRENZIRAJ,534,0,"b'RT @minhazmerchant: Indus Waters Treaty: Few know that Mufti Mohammad Sayeed in 2002, then J&amp;K CM, demanded exit from #IWT. Must read https\\u2026'"
